time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1775230006012049700,376.50504956054687,1074.5632291585207,1.4557316201734363,-1,-33.554606671631085,1046.173433855176,-1,5.9177499621633745,3.2130422472085147,-70.39778978884891,0
1775230007012473600,377.5054736328125,1074.5632291585207,0.977597422473844,-1,-33.554606671631085,1046.173433855176,-1,6.477795896110184,3.33875017892966,-70.39778978884891,0
1775230008011730700,378.50473071289065,1074.7814831603318,1.4407142038915068,-1,-33.55460357920624,1046.3916878569871,-1,6.564889843253589,3.1938376813879734,-70.3977882341651,0.29577831934601145
1775230009011744000,379.5047438964844,1073.8350986996666,1.4618896944378723,-1,-33.5546022188735,1045.4453033963218,-1,6.911808976128351,3.2794186511219077,-70.39778981906218,0.7239210957056509
1775230010012132600,380.5051325683594,1073.6414004266262,1.1298635359215714,-1,-33.55460122046591,1045.2516051232815,-1,6.793969745414443,3.3177573939589897,-70.39778730135335,0.7030333183828277
1775230011011760000,381.5047600097656,1076.6034577582031,1.519524527397251,-1,-33.5545997588815,1048.2136624548584,-1,6.787514577131596,3.500596136279835,-70.39778502820556,0.08149130136797543
1775230012011774000,382.50477392578125,1076.7804594701156,1.483207048143556,-1,-33.5545945146766,1048.3906641667709,-1,6.817935577393931,3.4656896181345958,-70.3977774144263,0.08398977472996334
1775230013011681800,383.5046818847656,1079.3706138515845,1.3906241527976875,180,-33.55460052267841,1050.9808185482398,325.3451398538633,6.828704022752829,3.350764885981457,-70.39777555034223,0.12580957464852782
1775230014012139300,384.50513916015626,1076.1805305741727,1.3475960130753613,94.19400376062013,-33.55459646283444,1047.790735270828,303.4537668434233,6.973362591583478,3.2589709339794206,-70.39778780379314,0.5881096974876907
1775230015012154000,385.5051540527344,1076.7570568863302,1.2289121105160352,180,-33.55459692964044,1048.3672615829855,295.94378697396223,6.760462479930284,3.1782585836453467,-70.39778305905058,0
1775230016012130300,386.50513037109374,1076.7570568863302,1.278817062472062,180,-33.55459692964044,1048.3672615829855,295.94378697396223,6.6823643702126585,3.1992572752148343,-70.39778305905058,0
1775230017011764000,387.50476391601563,1076.192639873363,1.591744015597799,180,-33.55460228231298,1047.8028445700184,295.94378581402685,6.622555523214877,3.081555878267558,-70.39778820608595,0.3277336989541292
1775230018011778800,388.50477880859376,1076.6461238982156,1.3058559937645369,180,-33.55460858720002,1048.2563285948709,295.94378277376336,6.580680222500678,3,-70.39778926388985,0
1775230019011791600,389.50479150390623,1078.8223178759217,1.1417529051621866,-1,-33.55460744853993,1050.432522572577,-1,6.503784013686987,3.055003054795695,-70.39779202839745,0.8109612894368177
1775230020011806500,390.50480639648435,1078.418656166643,1.0099299212678918,-1,-33.55460263595306,1050.0288608632982,-1,6.7261751805470045,3.196631312814292,-70.39779406651863,0.43658643462485003
1775230021011820800,391.50482080078126,1077.6493017431349,1.3072877280669868,-1,-33.554602843324645,1049.2595064397901,-1,6.707339584309607,3.1533025278994598,-70.39779583526105,0.04856809264081285
1775230022011835000,392.5048349609375,1074.6007272619754,1.4764741135499138,90.2153801482464,-33.554595016117915,1046.2109319586307,28.41880328880409,6.631148231650218,3.0158219730651354,-70.39779275870254,1.2751640618081186
1775230023011849000,393.50484887695313,1075.6753327986225,1.1489985918508057,-1,-33.554604396233664,1047.2855374952778,-1,6.65239196273852,3.0409866913857333,-70.39779707533162,0.33389404042673215
1775230024011862800,394.50486279296877,1075.7446001395583,1.1053803265169453,-1,-33.55460601522581,1047.3548048362136,-1,6.705403784261103,3.0918733967194236,-70.39779807545888,0
1775230025011877000,395.5048771972656,1076.6309000188485,1.44711645742759,-1,-33.55460787504206,1048.2411047155038,-1,6.653126767116614,3.1599219205021694,-70.39780448630542,0.22068238162829149
